# R_bohr,E_total_ha   (Z_A=1, Z_B=1, method=lda, coarse prolate grid)
8.499999999999999778e-01,-1.005258923247530189e+00
9.799999999999999822e-01,-1.070856644384527323e+00
1.109999999999999876e+00,-1.107886541061274155e+00
1.239999999999999991e+00,-1.127160488194304033e+00
1.370000000000000107e+00,-1.135104968838284156e+00
1.500000000000000000e+00,-1.135709027878925692e+00
1.629999999999999893e+00,-1.131532608267825868e+00
1.760000000000000009e+00,-1.124264883196069320e+00
1.890000000000000124e+00,-1.115042264912532888e+00
2.020000000000000018e+00,-1.104641318741857559e+00
2.149999999999999911e+00,-1.093598559360565492e+00
2.280000000000000249e+00,-1.082287216860966517e+00
2.399999999999999911e+00,-1.071834023589281593e+00
2.649999999999999911e+00,-1.050615823950899586e+00
2.899999999999999911e+00,-1.030739701910284412e+00
3.149999999999999911e+00,-1.012558447221810098e+00
3.399999999999999911e+00,-9.961845830404139068e-01
3.649999999999999911e+00,-9.815992028828632865e-01
3.700000000000000178e+00,-9.788896471980750302e-01
4.000000000000000000e+00,-9.640061975698024366e-01
